Country,Latitude,Longitude,Country_Index,OECD,Child_marriage_Law,Child_marriage_Practice,Household_responsibilities_Law,Divorce_Law,Violence_against_women_Law,Female_genital_mutilation_Law,Reproductive_autonomy_Law,Secure_access_to_land_assets_Law,Access_to_non-land_assets_Law,Secure_access_to_formal_financial services_Law,Workplace_rights_Law,Citizenship_rights_Law,Political_voice_Law,Political_voice_Practice,Freedom_of_movement_Law,Access_to_justice_Law
Sri Lanka,7.873054,80.771797,156,0,0.5,1,0.5,0.75,0.5,1,0.75,0.75,0.25,0,1,0,0.25,5.8,0,0.25
Sudan,12.862807,30.217636,157,0,0.75,1,1,1,0.75,0.25,0.5,1,0.5,0.25,1,0.75,0.25,30.5,1,0.75
South Sudan,6.877,31.307,158,0,0.75,1,0.75,0.75,0.75,0.25,0.75,0.5,0.25,0.25,1,0.25,0.25,28.5,0.25,0.25
Eswatini,-26.5225,31.4659,159,0,0.5,1,0.5,0.75,0.75,1,0.75,1,0.75,0.25,0.75,0.75,0.25,6.2,0.25,0.75
Syrian Arab Republic,34.8021,38.9968,160,0,1,1,0.75,1,0.75,1,0.75,0.25,0.25,0.25,1,0.75,0.5,13.2,0.75,0.75
Taiwan,23.69781,120.960515,161,0,1,1,0.5,0,0.25,1,0.75,0.25,0,0,1,0,0,38.1,0,0.25
Tajikistan,38.861034,71.276093,162,0,0.5,1,0.5,0.75,0.75,1,0,0.25,0.25,0,1,0,0.5,19,0,0.25
Tanzania,-6.369028,34.888822,163,0,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.5,0.25,0,0.75,0.25,37.2,0,0.25
Thailand,15.870032,100.992541,164,0,0.75,1,0.5,0.25,0.75,1,0.5,0.25,0.25,0,0.75,1,0.25,4.8,0,0.25
Timor-Leste,-8.874217,125.727539,165,0,0.75,1,0.25,0.25,0.5,1,0.75,0.5,0.25,0.5,0.25,0,0.25,32.3,0,0.75
Togo,8.619543,0.824782,166,0,0.5,1,0.75,1,0.75,0.25,0.5,0.5,0.5,0,1,1,0.25,17.6,0.75,0.75
Trinidad and Tobago,10.691803,-61.222503,167,0,0.25,1,0.5,0,0.75,0.75,0.75,0.25,0,0.25,0.75,0,0.5,31,0.75,0
Tunisia,33.886917,9.537499,168,0,0.5,1,1,0.75,0.5,1,0,0.25,0.25,0,1,1,0.25,31.3,0,0.75
Turkmenistan,38.969719,59.556278,169,0,0.25,1,0.5,0.25,0.75,0,0,0.25,0.5,0.25,1,0,0.5,25.8,0,0
Uganda,1.373333,32.290275,170,0,0.5,1,0.5,0.75,0.75,0.5,0.75,1,0.5,0.75,0.25,0,0.25,34.3,0.75,0.25
Ukraine,48.379433,31.16558,171,0,0.5,1,0.5,0,0.75,1,0,0,0,0.25,1,0,0.25,12.3,0,0.25
United Arab Emirates,23.424076,53.847818,172,0,0.5,1,1,1,0.75,1,0.75,0,0,0,1,1,0.5,22.5,0.75,0
Uruguay,-32.522779,-55.765835,173,0,0.75,1,0.5,0,0.75,1,0,0.25,0.25,0.25,0.75,0,0.25,20.2,0,0.25
Uzbekistan,41.377491,64.585262,174,0,1,1,0.5,0.25,0.75,1,0,0.25,0.25,0.25,1,0,0.25,16,0,0
Venezuela,6.42375,-66.58973,175,0,0.5,1,0.5,0.75,0.25,1,0.75,0,0,0,0.75,0,0,22.2,0,0
Vietnam,14.058324,108.277199,176,0,0.25,1,0.25,0.25,0.75,1,0,0.25,0.25,0.25,1,0,0,26.7,0,0
Yemen,15.552727,48.516388,177,0,0.75,1,1,1,0.75,1,0.75,0.25,0,0,1,1,0.5,0,1,0.75
Zambia,-13.133897,27.849332,178,0,0.5,1,0.5,0.25,0.5,0.75,0.75,0.25,0,0.25,0.75,0,0.5,18,0.75,0.75
Zimbabwe,-19.015438,29.154857,179,0,0.5,1,0.75,0.25,0.5,0,0.5,0.25,0.25,0.5,0.75,0.25,0.25,32.6,0,0.75
